date,time,ozone_compton,no_compton,no2_compton,RH_compton,TEMP_compton,WINDIR_compton,WINDSPEED_compton
2020/01/01,00:00:00,0.0019,17.8,28.9,55.8,51.39,28.0,1.0
2020/01/01,01:00:00,0.0019,32.4,27.5,58.9,49.98,356.0,1.0
2020/01/01,02:00:00,0.0005,16.9,26.700000000000003,55.2,50.19,22.0,2.0
2020/01/01,03:00:00,0.0005,14.5,25.7,57.4,48.93,93.0,1.0
2020/01/01,04:00:00,-0.0003,11.700000000000001,24.7,59.5,48.24,0.0,1.0
2020/01/01,05:00:00,0.0,15.9,21.5,65.9,46.31,0.0,0.0
2020/01/01,06:00:00,0.0,25.8,20.400000000000002,69.1,45.23,0.0,1.0
2020/01/01,07:00:00,0.0005,30.3,20.7,66.6,46.45,92.0,1.0
2020/01/01,08:00:00,0.0061,13.5,20.2,53.4,52.35,36.0,1.0
2020/01/01,09:00:00,0.0147,7.7,16.299999999999997,41.7,59.06,0.0,1.0
2020/01/01,10:00:00,0.027,0.7,7.5,39.5,63.08,123.0,1.0
2020/01/01,11:00:00,0.0325,-0.1,6.7,35.7,64.37,155.0,2.0
2020/01/01,12:00:00,0.0372,-0.9,5.2,30.9,66.3,156.0,2.0
2020/01/01,13:00:00,0.0398,-1.5,3.8,34.3,67.31,178.0,2.0
2020/01/01,14:00:00,0.0419,-1.6,5.1000000000000005,39.6,67.32,215.0,3.0
2020/01/01,15:00:00,0.039,-1.6,7.5,52.4,65.81,250.0,4.0
2020/01/01,16:00:00,0.0391,-2.3,6.5,61.9,62.53,261.0,4.0
2020/01/01,17:00:00,0.0354,-2.5,7.6,69.7,59.81,275.0,3.0
2020/01/01,18:00:00,0.0292,-2.4,9.5,77.6,58.72,266.0,2.0
2020/01/01,19:00:00,0.0219,-2.2,14.0,81.2,57.98,268.0,2.0
2020/01/01,20:00:00,0.0194,-2.2,14.6,82.1,57.28,0.0,0.0
2020/01/01,21:00:00,0.0088,-1.8,22.1,82.4,55.89,87.0,2.0
2020/01/01,22:00:00,-0.0001,6.8,27.400000000000002,89.1,54.45,99.0,1.0
2020/01/01,23:00:00,-0.0008,11.2,23.400000000000002,93.1,53.15,67.0,1.0
2020/01/02,00:00:00,-0.0009,12.3,20.1,94.9,51.63,46.0,1.0
2020/01/02,01:00:00,0.0002,4.3,21.3,93.6,51.97,55.0,2.0
2020/01/02,02:00:00,0.0006,0.1,20.8,92.1,51.94,0.0,1.0
2020/01/02,03:00:00,0.0012,0.3,20.0,92.7,51.91,61.0,2.0
2020/01/02,04:00:00,0.0003,3.5,25.0,90.0,52.11,55.0,2.0
2020/01/02,05:00:00,-0.001,20.299999999999997,24.6,89.9,50.47,0.0,1.0
2020/01/02,06:00:00,-0.0009,47.800000000000004,21.9,91.4,49.17,0.0,1.0
2020/01/02,07:00:00,-0.0006,61.699999999999996,25.7,88.4,49.68,78.0,2.0
2020/01/02,08:00:00,0.0017,46.4,28.400000000000002,83.1,52.84,95.0,3.0
2020/01/02,09:00:00,0.0128,15.5,21.4,74.1,57.67,109.0,2.0
2020/01/02,10:00:00,0.0266,2.8,10.7,70.5,59.72,237.0,2.0
2020/01/02,11:00:00,0.0291,2.7,11.9,61.5,62.63,285.0,2.0
2020/01/02,12:00:00,0.033,1.4,11.299999999999999,48.7,65.89,294.0,1.0
2020/01/02,13:00:00,0.0344,0.4,11.2,42.7,67.68,230.0,1.0
2020/01/02,14:00:00,0.0305,1.1,15.6,41.9,68.31,183.0,3.0
2020/01/02,15:00:00,0.0167,5.5,27.599999999999998,57.7,66.0,225.0,3.0
2020/01/02,16:00:00,0.0247,-1.5,15.5,74.1,61.83,283.0,4.0
2020/01/02,17:00:00,0.0027,1.5,39.6,80.0,59.82,289.0,2.0
2020/01/02,18:00:00,-0.0008,13.0,38.0,82.7,58.08,0.0,0.0
2020/01/02,19:00:00,-0.0006,35.2,33.300000000000004,86.7,56.24,0.0,0.0
2020/01/02,20:00:00,-0.0004,62.1,29.9,88.6,54.9,0.0,0.0
2020/01/02,21:00:00,-0.0002,71.9,27.7,90.3,53.48,0.0,0.0
2020/01/02,22:00:00,-0.0004,99.9,24.9,91.1,52.77,336.0,1.0
2020/01/02,23:00:00,-0.0005,118.1,23.8,91.5,52.14,0.0,1.0
2020/01/03,00:00:00,-0.0004,118.6,21.8,91.8,50.99,0.0,1.0
2020/01/03,01:00:00,-0.0006,115.1,22.700000000000003,88.6,50.51,0.0,1.0
2020/01/03,02:00:00,-0.0008,91.2,20.5,88.6,48.91,0.0,0.0
2020/01/03,03:00:00,-0.0008,82.9,21.2,87.7,48.28,36.0,1.0
2020/01/03,04:00:00,-0.0008,88.3,19.8,87.9,47.42,0.0,1.0
2020/01/03,05:00:00,-0.001,117.9,20.0,88.6,47.32,0.0,1.0
2020/01/03,06:00:00,-0.001,138.2,17.7,89.1,46.28,0.0,0.0
2020/01/03,07:00:00,-0.0009,186.0,22.599999999999998,85.4,47.57,0.0,0.0
2020/01/03,08:00:00,0.0,144.2,39.6,66.8,54.6,0.0,0.0
2020/01/03,09:00:00,0.0028,64.19999999999999,35.9,50.6,60.29,107.0,2.0
2020/01/03,10:00:00,0.007,50.3,32.4,42.6,63.87,102.0,1.0
2020/01/03,11:00:00,0.0135,21.3,28.8,33.3,68.27,148.0,1.0
2020/01/03,12:00:00,0.0186,15.2,27.900000000000002,30.7,70.32,177.0,1.0
2020/01/03,13:00:00,0.0215,11.1,28.1,27.4,72.88,0.0,1.0
2020/01/03,14:00:00,0.0183,13.700000000000001,34.6,33.1,72.35,193.0,3.0
2020/01/03,15:00:00,0.0123,12.4,39.699999999999996,38.4,70.26,189.0,3.0
2020/01/03,16:00:00,0.0118,3.0,34.7,48.2,67.31,265.0,3.0
2020/01/03,17:00:00,0.0146,-1.9,32.0,53.7,63.21,271.0,2.0
2020/01/03,18:00:00,0.0017,7.5,44.900000000000006,59.2,60.87,280.0,1.0
2020/01/03,19:00:00,-0.0005,22.5,43.2,68.9,57.96,0.0,0.0
2020/01/03,20:00:00,-0.0004,44.1,37.8,76.0,55.54,0.0,0.0
2020/01/03,21:00:00,0.0,52.900000000000006,35.6,82.1,54.18,0.0,0.0
2020/01/03,22:00:00,-0.0001,103.4,28.9,84.9,52.73,0.0,0.0
2020/01/03,23:00:00,-0.0003,124.89999999999999,28.299999999999997,87.4,51.37,0.0,0.0
2020/01/04,00:00:00,-0.0002,137.3,25.2,88.2,50.08,0.0,0.0
2020/01/04,01:00:00,-0.0002,142.9,24.7,87.0,49.39,0.0,0.0
2020/01/04,02:00:00,-0.0004,157.79999999999998,21.4,88.4,48.13,0.0,0.0
2020/01/04,03:00:00,-0.0005,160.39999999999998,18.9,89.1,47.01,0.0,0.0
2020/01/04,04:00:00,-0.0006,173.1,16.8,89.5,46.09,0.0,0.0
2020/01/04,05:00:00,-0.0006,181.4,17.4,90.6,45.2,0.0,0.0
2020/01/04,06:00:00,-0.0006,202.4,18.700000000000003,90.2,45.19,0.0,1.0
2020/01/04,07:00:00,-0.0007,192.39999999999998,23.599999999999998,85.2,46.57,0.0,1.0
2020/01/04,08:00:00,0.0,138.9,40.7,71.3,52.76,0.0,1.0
2020/01/04,09:00:00,0.0038,62.4,39.9,58.9,58.86,0.0,0.0
2020/01/04,10:00:00,0.0098,33.9,37.900000000000006,55.0,61.16,212.0,1.0
2020/01/04,11:00:00,0.0196,15.5,31.3,46.7,64.35,0.0,1.0
2020/01/04,12:00:00,0.0242,11.1,30.5,40.8,67.64,0.0,0.0
2020/01/04,13:00:00,0.0272,9.799999999999999,33.4,36.3,69.85,237.0,2.0
2020/01/04,14:00:00,0.0302,3.4,21.2,51.9,68.5,265.0,5.0
2020/01/04,15:00:00,0.0338,-0.1,14.8,54.2,66.22,265.0,5.0
2020/01/04,16:00:00,0.0299,-1.6,19.5,63.5,62.21,267.0,5.0
2020/01/04,17:00:00,0.0299,-2.2,12.7,80.2,58.83,282.0,2.0
2020/01/04,18:00:00,0.0169,-2.1,19.2,84.8,57.44,292.0,2.0
2020/01/04,19:00:00,0.0053,-1.0,25.9,88.8,56.19,0.0,1.0
2020/01/04,20:00:00,-0.0005,11.9,27.599999999999998,91.5,54.72,0.0,0.0
2020/01/04,21:00:00,-0.0004,30.099999999999998,26.4,93.0,53.47,0.0,1.0
2020/01/04,22:00:00,-0.0006,37.699999999999996,26.1,94.7,52.84,0.0,1.0
2020/01/04,23:00:00,-0.0005,47.199999999999996,22.0,95.2,51.34,0.0,0.0
2020/01/05,00:00:00,-0.0005,61.1,17.9,95.3,49.97,0.0,0.0
2020/01/05,01:00:00,-0.0003,83.3,16.6,95.7,49.29,0.0,1.0
2020/01/05,02:00:00,-0.0003,89.7,14.8,95.7,47.84,0.0,0.0
2020/01/05,03:00:00,-0.0004,101.9,12.3,95.5,46.7,0.0,0.0
2020/01/05,04:00:00,-0.0004,104.6,12.200000000000001,94.5,45.55,0.0,1.0
2020/01/05,05:00:00,-0.0005,103.7,12.1,94.3,44.59,0.0,0.0
2020/01/05,06:00:00,-0.0006,108.5,12.0,94.5,43.91,0.0,1.0
2020/01/05,07:00:00,-0.0007,104.4,17.6,91.5,46.06,0.0,0.0
2020/01/05,08:00:00,0.0009,62.8,33.300000000000004,75.7,52.27,0.0,1.0
2020/01/05,09:00:00,0.007,26.200000000000003,29.6,60.0,57.65,76.0,1.0
2020/01/05,10:00:00,0.0146,15.0,25.9,50.9,61.52,49.0,1.0
2020/01/05,11:00:00,0.025,5.8999999999999995,19.599999999999998,42.7,65.13,0.0,0.0
2020/01/05,12:00:00,0.0346,2.3,16.2,35.0,68.42,243.0,1.0
2020/01/05,13:00:00,0.0353,2.1,17.2,33.5,69.64,244.0,3.0
2020/01/05,14:00:00,0.037,0.5,13.2,36.4,67.08,272.0,6.0
2020/01/05,15:00:00,0.0389,-1.4,10.5,41.0,65.09,266.0,5.0
2020/01/05,16:00:00,0.0372,-2.3,8.4,48.3,63.41,254.0,3.0
2020/01/05,17:00:00,0.0249,-2.3,12.1,65.1,59.91,205.0,1.0
2020/01/05,18:00:00,0.0024,8.1,30.5,70.8,57.96,0.0,1.0
2020/01/05,19:00:00,0.0,21.2,33.8,74.3,56.11,33.0,2.0
2020/01/05,20:00:00,-0.0003,44.8,33.2,76.6,54.68,36.0,1.0
2020/01/05,21:00:00,-0.0003,60.6,32.9,78.5,53.15,0.0,0.0
2020/01/05,22:00:00,-0.0002,80.9,27.400000000000002,83.6,50.82,0.0,0.0
2020/01/05,23:00:00,-0.0003,88.6,27.3,84.9,49.95,21.0,2.0
2020/01/06,00:00:00,-0.0004,87.8,27.2,84.4,48.86,0.0,1.0
2020/01/06,01:00:00,-0.0006,75.6,27.5,82.8,48.15,357.0,1.0
2020/01/06,02:00:00,-0.0008,54.699999999999996,26.9,82.0,47.34,0.0,1.0
2020/01/06,03:00:00,-0.0008,50.5,28.1,81.9,46.28,0.0,0.0
2020/01/06,04:00:00,-0.0008,60.400000000000006,25.4,81.9,45.22,0.0,1.0
2020/01/06,05:00:00,-0.0007,78.39999999999999,26.700000000000003,77.8,45.15,0.0,1.0
2020/01/06,06:00:00,-0.0008,94.3,26.8,77.6,44.35,0.0,1.0
2020/01/06,07:00:00,-0.0005,169.7,30.8,74.5,45.56,0.0,1.0
2020/01/06,08:00:00,0.0016,75.5,34.0,53.5,54.28,26.0,2.0
2020/01/06,09:00:00,0.0047,55.199999999999996,37.699999999999996,41.1,60.97,35.0,1.0
2020/01/06,10:00:00,0.0113,36.0,35.7,29.5,67.45,36.0,2.0
2020/01/06,11:00:00,0.0263,6.6,18.5,19.0,71.39,20.0,3.0
2020/01/06,12:00:00,0.0315,4.1000000000000005,15.4,14.2,74.05,16.0,3.0
2020/01/06,13:00:00,0.0381,0.3,9.700000000000001,10.3,76.84,308.0,1.0
2020/01/06,14:00:00,0.0374,0.0,10.7,9.6,78.92,0.0,0.0
2020/01/06,15:00:00,0.0316,0.2,17.6,10.4,78.29,337.0,2.0
2020/01/06,16:00:00,0.019,1.0,28.299999999999997,11.5,76.52,36.0,1.0
2020/01/06,17:00:00,0.0013,35.3,44.6,17.6,70.66,36.0,1.0
2020/01/06,18:00:00,0.0005,103.8,46.0,24.0,67.36,327.0,2.0
2020/01/06,19:00:00,0.0001,71.0,42.8,28.1,63.88,350.0,2.0
2020/01/06,20:00:00,0.0,70.1,41.9,29.7,61.95,350.0,3.0
2020/01/06,21:00:00,-0.0002,16.400000000000002,38.3,29.4,60.82,358.0,3.0
2020/01/06,22:00:00,0.0004,4.1000000000000005,34.1,29.7,59.63,36.0,3.0
2020/01/06,23:00:00,0.0052,-1.3,27.799999999999997,28.1,59.29,359.0,3.0
2020/01/07,00:00:00,0.008,-2.1,24.1,28.2,58.56,36.0,4.0
2020/01/07,01:00:00,0.0083,-2.2,24.2,27.6,58.16,36.0,4.0
2020/01/07,02:00:00,0.0083,-2.4,23.5,28.2,57.02,36.0,3.0
2020/01/07,03:00:00,0.0078,-2.0,24.2,29.0,56.01,359.0,3.0
2020/01/07,04:00:00,0.0114,-2.3,19.900000000000002,27.9,56.31,36.0,3.0
2020/01/07,05:00:00,0.0042,0.4,27.799999999999997,29.5,55.2,36.0,3.0
2020/01/07,06:00:00,0.0018,3.7,31.3,29.2,55.12,357.0,3.0
2020/01/07,07:00:00,0.003,11.5,31.3,27.8,56.44,36.0,4.0
2020/01/07,08:00:00,0.0081,16.5,27.400000000000002,24.6,59.98,36.0,5.0
2020/01/07,09:00:00,0.0109,17.4,25.8,22.6,63.25,36.0,4.0
2020/01/07,10:00:00,0.0166,12.9,21.5,18.3,68.09,13.0,5.0
2020/01/07,11:00:00,0.0216,8.4,18.5,15.4,71.85,19.0,4.0
2020/01/07,12:00:00,0.0239,6.0,17.8,14.0,74.19,28.0,3.0
2020/01/07,13:00:00,0.0241,5.2,18.4,13.3,75.23,15.0,2.0
2020/01/07,14:00:00,0.0258,3.7,18.599999999999998,11.8,76.6,295.0,1.0
2020/01/07,15:00:00,0.0275,-0.3,14.4,22.3,72.8,263.0,4.0
2020/01/07,16:00:00,0.029,-1.8,10.4,36.7,65.91,274.0,6.0
2020/01/07,17:00:00,0.0203,-2.3,15.9,58.2,62.19,276.0,3.0
2020/01/07,18:00:00,0.0192,-2.4,17.9,55.3,60.61,273.0,2.0
2020/01/07,19:00:00,0.0008,12.1,34.0,62.8,57.78,0.0,0.0
2020/01/07,20:00:00,-0.0006,31.4,34.5,67.2,56.28,138.0,2.0
2020/01/07,21:00:00,-0.0008,41.6,36.2,67.0,55.29,112.0,1.0
2020/01/07,22:00:00,-0.0003,72.1,31.8,73.3,52.99,0.0,1.0
2020/01/07,23:00:00,-0.0008,44.6,33.300000000000004,79.5,52.59,87.0,2.0
2020/01/08,00:00:00,-0.0012,11.0,29.4,86.5,52.13,0.0,1.0
2020/01/08,01:00:00,-0.0011,19.099999999999998,28.0,87.4,50.55,40.0,2.0
2020/01/08,02:00:00,-0.0002,3.9,24.400000000000002,92.1,50.33,98.0,2.0
2020/01/08,03:00:00,-0.0009,7.6,24.0,94.9,50.6,77.0,2.0
2020/01/08,04:00:00,-0.001,5.8999999999999995,22.2,95.4,51.72,0.0,0.0
2020/01/08,05:00:00,-0.0013,13.0,23.7,94.3,52.42,87.0,1.0
2020/01/08,06:00:00,-0.0011,33.300000000000004,26.8,88.6,51.55,87.0,1.0
2020/01/08,07:00:00,-0.0007,82.0,30.599999999999998,82.4,49.89,21.0,1.0
2020/01/08,08:00:00,0.0008,59.1,31.099999999999998,76.7,52.91,36.0,2.0
2020/01/08,09:00:00,0.0157,8.5,15.299999999999999,74.6,56.43,39.0,3.0
2020/01/08,10:00:00,0.0224,4.1000000000000005,11.799999999999999,67.1,58.75,107.0,3.0
2020/01/08,11:00:00,0.0253,2.8,10.5,61.7,60.76,129.0,1.0
2020/01/08,12:00:00,0.028,2.1,10.3,58.4,61.21,221.0,2.0
2020/01/08,13:00:00,0.0268,2.7,13.5,56.5,62.32,197.0,3.0
2020/01/08,14:00:00,0.0262,1.8,13.5,60.8,61.43,195.0,5.0
2020/01/08,15:00:00,0.0216,1.1,18.8,64.0,60.24,200.0,5.0
2020/01/08,16:00:00,0.0253,-1.9,13.100000000000001,72.2,58.55,254.0,5.0
2020/01/08,17:00:00,0.0227,-2.2,13.799999999999999,76.4,57.2,268.0,2.0
2020/01/08,18:00:00,0.008,-0.8,24.299999999999997,79.9,56.01,0.0,0.0
2020/01/08,19:00:00,-0.0005,14.7,29.3,82.9,54.43,0.0,1.0
2020/01/08,20:00:00,-0.0009,30.5,30.4,84.9,53.44,0.0,1.0
2020/01/08,21:00:00,-0.0008,56.9,28.8,87.5,52.05,0.0,0.0
2020/01/08,22:00:00,-0.0005,77.8,27.599999999999998,88.2,51.51,77.0,2.0
2020/01/08,23:00:00,-0.0009,53.6,30.900000000000002,88.0,51.46,74.0,2.0
2020/01/09,00:00:00,-0.0004,39.300000000000004,31.099999999999998,87.2,51.59,62.0,2.0
2020/01/09,01:00:00,-0.001,16.1,32.300000000000004,85.3,51.79,86.0,2.0
2020/01/09,02:00:00,-0.0008,5.4,30.4,83.9,51.64,78.0,2.0
2020/01/09,03:00:00,0.0011,0.0,26.700000000000003,83.5,51.33,50.0,2.0
2020/01/09,04:00:00,-0.0008,7.9,26.5,84.9,50.51,23.0,2.0
2020/01/09,05:00:00,-0.001,20.7,26.4,85.1,50.18,36.0,1.0
2020/01/09,06:00:00,-0.001,43.7,28.9,83.9,51.47,353.0,1.0
2020/01/09,07:00:00,-0.0006,56.099999999999994,29.4,81.9,52.18,36.0,2.0
2020/01/09,08:00:00,0.0035,31.5,25.1,74.7,54.34,72.0,2.0
2020/01/09,09:00:00,0.0141,5.0,16.7,69.7,56.51,0.0,1.0
2020/01/09,10:00:00,0.0183,4.5,15.6,67.7,58.06,328.0,2.0
2020/01/09,11:00:00,0.0195,6.5,17.9,63.2,58.68,295.0,3.0
2020/01/09,12:00:00,0.0341,-0.4,4.8,56.3,59.76,262.0,6.0
2020/01/09,13:00:00,0.0375,-2.0,1.2,53.5,59.05,266.0,7.0
2020/01/09,14:00:00,0.0363,-1.8,1.8,60.0,58.68,259.0,7.0
2020/01/09,15:00:00,0.0345,-1.7,3.1,65.2,58.86,261.0,6.0
2020/01/09,16:00:00,0.0324,-2.2,4.4,70.0,58.11,260.0,5.0
2020/01/09,17:00:00,0.0266,-2.5,8.1,79.0,55.92,258.0,3.0
2020/01/09,18:00:00,0.0084,-1.2,22.9,83.4,54.3,148.0,2.0
2020/01/09,19:00:00,-0.0005,6.5,32.0,85.6,53.15,0.0,1.0
2020/01/09,20:00:00,-0.0008,33.2,29.5,87.8,51.99,0.0,0.0
2020/01/09,21:00:00,-0.0006,72.4,27.599999999999998,89.5,50.87,0.0,1.0
2020/01/09,22:00:00,-0.0006,64.8,26.3,90.3,50.0,0.0,1.0
2020/01/09,23:00:00,-0.0007,77.3,23.2,91.3,48.73,0.0,0.0
2020/01/10,00:00:00,-0.0005,90.1,19.5,92.6,47.2,0.0,0.0
2020/01/10,01:00:00,-0.0006,96.5,19.0,93.7,46.64,301.0,1.0
2020/01/10,02:00:00,-0.0008,98.8,19.400000000000002,94.5,45.67,94.0,1.0
2020/01/10,03:00:00,-0.0008,108.60000000000001,20.5,95.3,44.81,53.0,2.0
2020/01/10,04:00:00,-0.0009,84.2,19.3,95.1,44.29,317.0,1.0
2020/01/10,05:00:00,-0.0009,92.8,18.8,94.0,43.69,44.0,1.0
2020/01/10,06:00:00,-0.0009,103.3,19.8,93.1,43.75,58.0,2.0
2020/01/10,07:00:00,-0.0008,88.6,22.1,87.9,45.53,0.0,0.0
2020/01/10,08:00:00,0.001,61.699999999999996,31.3,78.8,49.86,354.0,1.0
2020/01/10,09:00:00,0.007,29.5,25.6,71.5,55.18,0.0,0.0
2020/01/10,10:00:00,0.0203,5.6,12.4,71.5,58.03,0.0,0.0
2020/01/10,11:00:00,0.0218,6.2,13.899999999999999,64.2,60.2,132.0,2.0
2020/01/10,12:00:00,0.0282,1.5,7.9,58.3,62.11,153.0,2.0
2020/01/10,13:00:00,0.0304,0.8,7.3,54.1,63.59,194.0,3.0
2020/01/10,14:00:00,0.0305,0.4,8.0,50.0,63.82,189.0,3.0
2020/01/10,15:00:00,0.0202,3.7,19.099999999999998,47.9,64.01,201.0,4.0
2020/01/10,16:00:00,0.0129,1.1,25.4,67.4,61.1,191.0,4.0
2020/01/10,17:00:00,0.0096,-1.1,26.4,69.0,58.66,248.0,2.0
2020/01/10,18:00:00,0.0065,-1.2,27.2,71.4,56.94,266.0,2.0
2020/01/10,19:00:00,0.0007,3.5,30.099999999999998,78.1,55.25,0.0,0.0
2020/01/10,20:00:00,-0.0005,42.8,27.900000000000002,83.2,52.92,0.0,1.0
2020/01/10,21:00:00,-0.0003,60.6,25.7,86.4,51.49,0.0,0.0
2020/01/10,22:00:00,0.0004,115.1,22.1,88.1,50.4,0.0,0.0
2020/01/10,23:00:00,-0.0001,135.5,21.5,90.5,48.89,0.0,0.0
2020/01/11,00:00:00,-0.0002,135.3,17.7,90.9,47.76,0.0,0.0
2020/01/11,01:00:00,-0.0003,131.5,16.6,92.2,46.62,0.0,0.0
2020/01/11,02:00:00,-0.0008,92.8,19.3,91.9,46.36,49.0,1.0
2020/01/11,03:00:00,-0.0009,89.80000000000001,17.2,92.8,45.14,0.0,1.0
2020/01/11,04:00:00,-0.0009,90.39999999999999,15.5,93.8,44.14,0.0,1.0
2020/01/11,05:00:00,-0.0008,96.60000000000001,15.100000000000001,93.5,43.31,0.0,0.0
2020/01/11,06:00:00,-0.0007,127.2,13.100000000000001,93.8,42.45,0.0,0.0
2020/01/11,07:00:00,-0.0007,141.0,16.400000000000002,93.2,43.26,18.0,1.0
2020/01/11,08:00:00,0.0,85.0,29.2,84.5,48.32,47.0,2.0
2020/01/11,09:00:00,0.0034,40.0,24.8,76.3,53.5,79.0,2.0
2020/01/11,10:00:00,0.0131,14.200000000000001,17.9,74.4,57.37,124.0,2.0
2020/01/11,11:00:00,0.0251,1.5,9.700000000000001,69.7,58.95,183.0,2.0
2020/01/11,12:00:00,0.03,-0.6,6.8999999999999995,65.2,59.8,181.0,2.0
2020/01/11,13:00:00,0.0349,-1.4,3.0,62.6,61.47,147.0,3.0
2020/01/11,14:00:00,0.0367,-2.0,2.0,63.6,61.17,168.0,4.0
2020/01/11,15:00:00,0.0358,-2.1,2.0,66.5,60.9,186.0,5.0
2020/01/11,16:00:00,0.0317,-2.3,4.6,73.3,59.02,193.0,4.0
2020/01/11,17:00:00,0.0229,-2.4,10.1,77.6,57.52,223.0,2.0
2020/01/11,18:00:00,0.0111,-2.0,21.5,78.5,55.93,268.0,2.0
2020/01/11,19:00:00,0.0011,8.5,27.5,82.0,53.65,0.0,0.0
2020/01/11,20:00:00,0.0,37.6,27.099999999999998,85.5,52.12,0.0,1.0
2020/01/11,21:00:00,-0.0001,49.6,25.7,87.4,51.13,0.0,1.0
2020/01/11,22:00:00,-0.0003,52.699999999999996,24.8,89.6,50.32,77.0,1.0
2020/01/11,23:00:00,-0.0006,34.2,23.3,90.9,50.02,76.0,2.0
2020/01/12,00:00:00,-0.0007,16.8,22.599999999999998,90.5,49.95,77.0,1.0
2020/01/12,01:00:00,-0.0007,21.1,21.4,90.8,49.71,0.0,1.0
2020/01/12,02:00:00,-0.0008,19.599999999999998,18.0,92.5,48.54,0.0,1.0
2020/01/12,03:00:00,-0.0009,18.3,19.599999999999998,92.5,49.22,34.0,1.0
2020/01/12,04:00:00,-0.0009,22.3,17.2,93.3,48.32,0.0,1.0
2020/01/12,05:00:00,-0.0009,34.3,13.6,94.5,46.55,0.0,0.0
2020/01/12,06:00:00,-0.001,61.1,11.4,95.1,45.02,0.0,0.0
2020/01/12,07:00:00,-0.001,81.19999999999999,11.4,94.1,45.2,0.0,1.0
2020/01/12,08:00:00,0.0013,52.2,25.1,83.8,50.61,36.0,1.0
2020/01/12,09:00:00,0.0136,8.200000000000001,14.4,73.5,55.41,0.0,0.0
2020/01/12,10:00:00,0.0279,0.7,6.8999999999999995,66.5,58.14,187.0,1.0
2020/01/12,11:00:00,0.034,-0.6,4.8999999999999995,54.6,60.01,264.0,1.0
2020/01/12,12:00:00,0.0354,-0.3,5.8999999999999995,48.6,61.25,261.0,3.0
2020/01/12,13:00:00,0.0382,-0.8,5.6,48.6,62.27,242.0,4.0
2020/01/12,14:00:00,0.0404,-1.7,3.5,49.7,61.98,264.0,5.0
2020/01/12,15:00:00,0.0406,-2.1,3.3,54.8,60.67,270.0,5.0
2020/01/12,16:00:00,0.0397,-2.5,4.8,58.5,59.0,266.0,5.0
2020/01/12,17:00:00,0.0333,-2.6,9.700000000000001,68.9,57.09,267.0,2.0
2020/01/12,18:00:00,0.018,-2.3,20.0,78.3,55.6,235.0,1.0
2020/01/12,19:00:00,0.0093,-1.7,25.8,83.4,54.4,282.0,1.0
2020/01/12,20:00:00,0.0012,6.3,28.400000000000002,87.5,52.02,0.0,0.0
2020/01/12,21:00:00,-0.0004,38.699999999999996,27.3,89.2,50.76,0.0,1.0
2020/01/12,22:00:00,-0.0005,53.5,25.6,91.2,49.93,98.0,1.0
2020/01/12,23:00:00,-0.0006,48.7,26.4,91.6,49.05,77.0,1.0
2020/01/13,00:00:00,-0.0004,38.199999999999996,26.1,89.4,48.2,43.0,2.0
2020/01/13,01:00:00,-0.0008,32.5,23.2,91.6,47.13,0.0,1.0
2020/01/13,02:00:00,-0.0008,43.4,20.9,92.2,46.74,0.0,1.0
2020/01/13,03:00:00,-0.0009,31.3,21.5,88.7,47.56,19.0,1.0
2020/01/13,04:00:00,-0.0011,17.3,20.9,84.9,48.57,24.0,2.0
2020/01/13,05:00:00,-0.001,15.100000000000001,22.2,82.3,49.73,20.0,1.0
2020/01/13,06:00:00,-0.001,22.9,24.8,81.2,50.19,16.0,2.0
2020/01/13,07:00:00,-0.0005,37.3,24.1,80.3,50.45,33.0,1.0
2020/01/13,08:00:00,0.0023,41.4,26.3,74.9,53.98,48.0,2.0
2020/01/13,09:00:00,0.0138,11.4,20.1,69.4,57.56,77.0,2.0
2020/01/13,10:00:00,0.0305,0.8,9.1,62.1,59.03,0.0,1.0
2020/01/13,11:00:00,0.0337,0.8,8.4,56.0,61.4,0.0,0.0
2020/01/13,12:00:00,0.0365,-0.1,7.7,52.5,61.96,282.0,1.0
2020/01/13,13:00:00,0.0357,-0.1,9.5,53.4,61.61,251.0,3.0
2020/01/13,14:00:00,0.0374,-0.4,8.7,53.8,62.41,244.0,3.0
2020/01/13,15:00:00,0.0389,-1.5,7.6,56.2,62.0,258.0,4.0
2020/01/13,16:00:00,0.0371,-2.2,8.9,61.5,59.91,265.0,4.0
2020/01/13,17:00:00,0.0366,-2.6,9.2,68.1,57.58,260.0,4.0
2020/01/13,18:00:00,0.028,-2.6,14.9,73.3,56.31,280.0,2.0
2020/01/13,19:00:00,0.0097,2.1,30.200000000000003,77.7,54.99,0.0,1.0
2020/01/13,20:00:00,-0.0001,16.7,37.900000000000006,80.2,53.68,0.0,1.0
2020/01/13,21:00:00,-0.0006,27.599999999999998,34.2,84.0,51.82,0.0,0.0
2020/01/13,22:00:00,-0.0006,53.1,30.599999999999998,86.3,50.8,0.0,0.0
2020/01/13,23:00:00,-0.0005,58.8,26.9,88.7,49.31,0.0,0.0
2020/01/14,00:00:00,-0.0005,76.5,23.5,90.2,48.22,0.0,0.0
2020/01/14,01:00:00,-0.0003,102.9,24.400000000000002,91.7,47.39,0.0,1.0
2020/01/14,02:00:00,-0.001,69.8,26.700000000000003,92.4,46.86,11.0,1.0
2020/01/14,03:00:00,-0.0009,57.0,24.7,92.5,46.27,0.0,1.0
